data_source,note,code,name,address,city,county,state,zip_code,AOR,date_of_last_use,date_of_first_use,latitude,longitude
locations.csv,"exact latitude, longitude (city)",BEAURLA,BEAUREGARD PARISH JAIL,412 MAYEAUX DRIVE,DE RIDDER,BEAUREGARD,LA,70634,NOL,2004-11-04,4/2/88,30.84228,-93.28432
locations.csv,"exact latitude, longitude (city)",BEAVRPA,BEAVER COUNTY JAIL,6000 WOODLAWN BOULEVARD,ALIQUIPPA,BEAVER,PA,15001,PHI,2004-11-17,28/08/2017,40.629013,-80.239052
locations.csv,"exact latitude, longitude (city)",BEDCITX,BEDFORD MUNICIPAL DETENTION CENTER,2121 L DON DODSON DRIVE,BEDFORD,TARRANT,TX,76021,DAL,2004-11-17,6/7/99,32.84109036,-97.13309243
locations.csv,"exact latitude, longitude (city)",BEDFOOH,BEDFORD HEIGHTS CITY JAIL,5661 PERKINS ROAD,BEDFORD HTS,CUYAHOGA,OH,44146,DET,27/04/2015,31/12/1996,41.4089587,-81.4969259
locations.csv,"exact latitude, longitude (city)",BEDFOPA,BEDFORD COUNTY JAIL,204 THOMAS STREET,BEDFORD,BEDFORD,PA,15522,PHI,2007-12-09,20/03/1994,40.008089,-78.504786
locations.csv,"exact latitude, longitude (city)",BEFAMPA,BERKS COUNTY FAMILY SHELTER,1040 BERKS ROAD,LEESPORT,BERKS,PA,19533,PHI,2004-11-17,2007-01-01,40.379575,-76.019543
locations.csv,"exact latitude, longitude (city)",BEHOSNY,BELLEVUE HOSPITAL,462 1ST AVENUE,NEW YORK,NEW YORK,NY,10016,NYC,2010-04-17,2005-06-14,40.7395563,-73.976083
locations.csv,"exact latitude, longitude (city)",BEJUVPA,BERKS COUNTY,1261 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,29/03/2012,2/2/94,40.382666,-76.017389
locations.csv,"exact latitude, longitude (city)",BELCOTX,BELL COUNTY JAIL,111 W. CENTRAL,BELTON,BELL,TX,76513,SNA,24/09/2007,22/05/1998,31.0463067,-97.48805383
locations.csv,"exact latitude, longitude (city)",BELJUTX,BELL COUNTY JUVENILE,4800 EAST RANCIER,KILLEEN,BELL,TX,76543,SNA,19/02/2007,21/01/1999,31.115801,-97.676738
locations.csv,"exact latitude, longitude (city)",BELKNNH,BELKNAP COUNTY JAIL,76 COUNTY DR,LACONIA,BELKNAP,NH,3246,BOS,21/10/2002,21/10/1992,43.54336614,-71.48424633
locations.csv,"exact latitude, longitude (city)",BELPDMI,BELLEVILLE POLICE DEPARTMENT (MICHIGAN),6 MAIN ST.,BELLEVILLE,WAYNE,MI,48111,DET,28/03/2004,23/03/1991,42.20504333,-83.48559846
locations.csv,"exact latitude, longitude (city)",BENTCCO,BENT COUNTY JAIL,11100 COUNTY RD GG 75,LAS ANIMAS,BENT,CO,81054,DEN,2008-10-07,2012-07-06,38.075749,-103.215199
locations.csv,"exact latitude, longitude (city)",BENTOAR,BENTON COUNTY DETENTION CENTER,1300 SW 14TH STREET,BENTONVILLE,BENTON,AR,72712,NOL,2011-06-08,30/01/2001,36.357448,-94.229937
locations.csv,"exact latitude, longitude (city)",BENTOIA,BENTON COUNTY JAIL,113 E 3RD ST,VINTON,BENTON,IA,52349,SPM,19/11/2003,4/5/98,42.16875878,-92.02400039
locations.csv,"exact latitude, longitude (city)",BENTOMN,BENTON COUNTY JAIL,581 HIGHWAY 23 NE,FOLEY,BENTON,MN,56329,SPM,2003-12-02,2/7/99,45.668487,-93.910143
locations.csv,"exact latitude, longitude (city)",BENTOWA,BENTON COUNTY JAIL,7320 W. QUINAULT,KENNEWICK,BENTON,WA,99336,SEA,22/12/2009,2009-11-05,46.22145003,-119.220502
